internal_project_id,project_name,ministry,agency,sector,state,project_type,approval_date,start_date,original_end_date,revised_end_date,original_cost_cr,revised_cost_cr,project_code,legacy_ocms_code,pmgid
PAI-00001,Road Widening Roads Project 00001,Ministry of Power,CPWD,Roads,Tamil Nadu,Road Widening,2024-08-09,2025-03-17,2026-10-08,2026-10-08,33.18,41.43,PRJ-361471,OCMS-672225,PM-6714326
PAI-00002,Bridge Railways Project 00002,Ministry of Railways,National Highways Authority,Railways,Karnataka,Bridge,2024-10-08,2025-02-16,2028-11-01,2028-11-01,21.19,22.22,PRJ-966509,OCMS-616829,PM-9865927
PAI-00003,Water Supply Water Project 00003,Ministry of Health & Family Welfare,NHAI,Water,Maharashtra,Water Supply,2025-06-08,2026-01-11,2029-02-27,2029-02-27,45.28,52.03,PRJ-920946,OCMS-217802,PM-2806488
PAI-00004,Substation Power Project 00004,Ministry of Railways,CPWD,Power,Chhattisgarh,Substation,2024-10-02,2025-05-31,2029-09-30,2029-09-30,52.22,62.63,PRJ-198367,OCMS-649066,PM-9496730
PAI-00005,Sewage Urban Development Project 00005,Ministry of Jal Shakti,CPWD,Urban Development,Telangana,Sewage,2025-02-05,2025-06-03,2028-06-14,2028-08-13,53.32,58.64,PRJ-905574,OCMS-707373,PM-4789311
PAI-00006,Medical College Healthcare Project 00006,Ministry of Railways,Metro Rail Corporation,Healthcare,Chhattisgarh,Medical College,2023-12-07,2024-08-04,2027-04-16,2027-04-16,70.08,76.91,PRJ-230713,OCMS-531234,PM-7520765
PAI-00007,University Education Project 00007,Ministry of Health & Family Welfare,NHPC,Education,Goa,University,2023-05-19,2023-09-22,2027-02-20,2027-02-20,31.94,39.98,PRJ-104797,OCMS-337468,PM-3590732
PAI-00008,Logistics Hub Ports Project 00008,Ministry of Power,CPWD,Ports,Gujarat,Logistics Hub,2024-08-18,2024-10-05,2027-02-05,2027-02-05,6.24,6.53,PRJ-203966,OCMS-326306,PM-3419427
PAI-00009,Road Widening Roads Project 00009,Ministry of Power,IRCON,Roads,Chhattisgarh,Road Widening,2023-04-16,2023-07-29,2026-01-27,2026-01-27,92.14,95.91,PRJ-212569,OCMS-409859,PM-8037128
PAI-00010,Freight Corridor Railways Project 00010,Ministry of Health & Family Welfare,NHPC,Railways,Tamil Nadu,Freight Corridor,2023-11-09,2024-05-08,2027-01-31,2027-10-28,16.29,19.66,PRJ-536706,OCMS-886219,PM-8406282
PAI-00011,Irrigation Water Project 00011,Ministry of Road Transport & Highways,NTPC,Water,West Bengal,Irrigation,2024-07-26,2024-09-06,2026-10-27,2026-10-27,54.54,67.49,PRJ-611275,OCMS-756923,PM-7082791
PAI-00012,Renewable Energy Power Project 00012,Ministry of Education,National Highways Authority,Power,Delhi,Renewable Energy,2023-06-11,2023-07-15,2028-05-03,2028-06-02,30.77,36.09,PRJ-861136,OCMS-613180,PM-2526366
PAI-00013,Metro Urban Development Project 00013,Ministry of Jal Shakti,IRCON,Urban Development,Andhra Pradesh,Metro,2024-08-21,2025-05-14,2028-11-21,2029-01-20,42.85,48.82,PRJ-650344,OCMS-771698,PM-7399859
PAI-00014,Health Centre Healthcare Project 00014,Ministry of Railways,Metro Rail Corporation,Healthcare,Maharashtra,Health Centre,2025-04-16,2026-01-08,2030-03-20,2030-12-15,13.61,14.96,PRJ-296584,OCMS-599904,PM-9370599
PAI-00015,Research Facility Education Project 00015,Ministry of Power,NTPC,Education,Haryana,Research Facility,2024-11-26,2025-04-19,2029-08-09,2030-02-05,15.12,15.55,PRJ-415294,OCMS-593839,PM-2586510
PAI-00016,Logistics Hub Ports Project 00016,Ministry of Railways,NHPC,Ports,Manipur,Logistics Hub,2025-05-02,2025-09-10,2029-11-06,2029-11-06,27.16,29.99,PRJ-695455,OCMS-978286,PM-9047853
PAI-00017,Highway Roads Project 00017,Ministry of Power,CPWD,Roads,Sikkim,Highway,2024-01-23,2024-08-14,2027-01-24,2027-02-23,8.09,8.95,PRJ-555069,OCMS-117533,PM-2508806
PAI-00018,Station Railways Project 00018,Ministry of Housing & Urban Affairs,NTPC,Railways,Himachal Pradesh,Station,2023-08-14,2023-11-07,2028-07-12,2028-07-12,91.57,109.29,PRJ-488146,OCMS-360463,PM-8448092
PAI-00019,Dam Water Project 00019,"Ministry of Ports, Shipping & Waterways",IRCON,Water,Nagaland,Dam,2024-07-18,2024-09-25,2027-07-03,2027-07-03,42.4,46.02,PRJ-519503,OCMS-256944,PM-4693591
PAI-00020,Generation Power Project 00020,Ministry of Housing & Urban Affairs,RVNL,Power,Kerala,Generation,2024-04-20,2024-07-07,2026-08-14,2026-08-14,18.97,24.08,PRJ-123450,OCMS-273693,PM-9852498
PAI-00021,Sewage Urban Development Project 00021,Ministry of Education,NHAI,Urban Development,Rajasthan,Sewage,2023-10-28,2024-07-18,2029-05-20,2029-05-20,16.24,20.22,PRJ-595690,OCMS-200681,PM-6678328
PAI-00022,Medical College Healthcare Project 00022,Ministry of Power,State PWD,Healthcare,Nagaland,Medical College,2024-12-26,2025-06-22,2027-12-17,2028-01-16,25.52,28.93,PRJ-812443,OCMS-116975,PM-6138630
PAI-00023,Research Facility Education Project 00023,"Ministry of Ports, Shipping & Waterways",National Highways Authority,Education,Manipur,Research Facility,2023-12-01,2024-08-04,2026-11-11,2026-11-11,23.58,29.58,PRJ-404460,OCMS-788872,PM-2899680
PAI-00024,Harbour Ports Project 00024,Ministry of Railways,RVNL,Ports,Chhattisgarh,Harbour,2023-12-03,2024-09-21,2027-01-14,2027-01-14,68.21,72.42,PRJ-216125,OCMS-701437,PM-5717719
PAI-00025,Highway Roads Project 00025,Ministry of Health & Family Welfare,RVNL,Roads,Himachal Pradesh,Highway,2025-05-15,2025-08-15,2029-08-18,2029-08-18,58.27,74.29,PRJ-518836,OCMS-392808,PM-4647105
PAI-00026,Station Railways Project 00026,Ministry of Health & Family Welfare,RVNL,Railways,Bihar,Station,2024-07-24,2025-02-09,2026-09-02,2026-10-02,35.67,35.94,PRJ-593920,OCMS-163643,PM-3535751
PAI-00027,Dam Water Project 00027,Ministry of Power,IRCON,Water,Mizoram,Dam,2024-05-12,2024-07-15,2028-07-30,2028-07-30,32.0,32.98,PRJ-980944,OCMS-172063,PM-1792832
PAI-00028,Substation Power Project 00028,"Ministry of Ports, Shipping & Waterways",NHAI,Power,Bihar,Substation,2024-12-31,2025-02-20,2026-10-04,2026-10-04,94.77,98.84,PRJ-569259,OCMS-720009,PM-2185194
PAI-00029,Housing Urban Development Project 00029,Ministry of Power,Metro Rail Corporation,Urban Development,Chhattisgarh,Housing,2023-02-09,2023-05-01,2025-03-05,2025-03-05,7.0,7.04,PRJ-132076,OCMS-749768,PM-4679661
PAI-00030,Medical College Healthcare Project 00030,Ministry of Jal Shakti,National Highways Authority,Healthcare,Assam,Medical College,2023-04-02,2023-07-05,2027-11-11,2027-12-11,24.57,25.68,PRJ-553740,OCMS-631013,PM-8989484
PAI-00031,Research Facility Education Project 00031,Ministry of Education,NHPC,Education,Chhattisgarh,Research Facility,2024-06-22,2025-02-23,2028-10-02,2028-12-31,42.97,49.66,PRJ-616937,OCMS-140065,PM-3019460
PAI-00032,Harbour Ports Project 00032,Ministry of Education,CPWD,Ports,Mizoram,Harbour,2023-02-24,2023-04-04,2026-05-28,2026-06-27,28.23,30.64,PRJ-106738,OCMS-863827,PM-3223131
PAI-00033,Road Widening Roads Project 00033,Ministry of Power,Jal Board,Roads,Madhya Pradesh,Road Widening,2024-07-10,2024-10-24,2027-02-10,2027-02-10,91.22,116.48,PRJ-827784,OCMS-520522,PM-5404215
PAI-00034,Bridge Railways Project 00034,Ministry of Road Transport & Highways,IRCON,Railways,Tamil Nadu,Bridge,2023-09-29,2024-02-21,2028-09-12,2028-09-12,16.9,21.36,PRJ-665602,OCMS-738437,PM-7026869
PAI-00035,Dam Water Project 00035,"Ministry of Ports, Shipping & Waterways",CPWD,Water,Haryana,Dam,2024-11-12,2025-02-18,2028-01-18,2028-02-17,25.01,29.28,PRJ-316697,OCMS-178724,PM-7659858
PAI-00036,Transmission Power Project 00036,Ministry of Jal Shakti,NTPC,Power,Sikkim,Transmission,2024-10-17,2024-12-12,2027-02-17,2027-08-16,23.62,28.9,PRJ-719338,OCMS-627470,PM-4855061
PAI-00037,Metro Urban Development Project 00037,Ministry of Housing & Urban Affairs,Metro Rail Corporation,Urban Development,Delhi,Metro,2024-12-05,2025-01-17,2029-09-26,2029-09-26,42.74,50.56,PRJ-578383,OCMS-349733,PM-9697733
PAI-00038,Medical College Healthcare Project 00038,Ministry of Power,RVNL,Healthcare,Goa,Medical College,2024-01-29,2024-05-12,2026-09-29,2026-09-29,51.3,56.78,PRJ-808755,OCMS-395132,PM-1088126
PAI-00039,School Education Project 00039,Ministry of Road Transport & Highways,NTPC,Education,Goa,School,2024-08-22,2025-01-30,2029-06-18,2029-06-18,28.72,31.91,PRJ-603687,OCMS-379301,PM-9480730
PAI-00040,Port Expansion Ports Project 00040,Ministry of Jal Shakti,Metro Rail Corporation,Ports,Odisha,Port Expansion,2024-09-04,2024-12-27,2027-02-03,2027-04-04,5.9,7.49,PRJ-115465,OCMS-240991,PM-7523862
PAI-00041,Bridge Roads Project 00041,Ministry of Railways,National Highways Authority,Roads,Uttarakhand,Bridge,2024-12-17,2025-09-02,2030-01-19,2030-01-19,58.09,66.25,PRJ-597937,OCMS-504289,PM-3853885
PAI-00042,Freight Corridor Railways Project 00042,Ministry of Health & Family Welfare,CPWD,Railways,West Bengal,Freight Corridor,2024-09-27,2024-12-15,2026-09-15,2027-03-14,46.26,53.81,PRJ-780970,OCMS-124508,PM-8099756
PAI-00043,Dam Water Project 00043,Ministry of Housing & Urban Affairs,Metro Rail Corporation,Water,Tripura,Dam,2024-12-03,2025-01-13,2028-05-14,2028-07-13,39.76,44.94,PRJ-938395,OCMS-628967,PM-2004750
PAI-00044,Transmission Power Project 00044,Ministry of Power,Metro Rail Corporation,Power,Tripura,Transmission,2024-10-05,2025-05-20,2029-09-24,2029-09-24,24.03,24.25,PRJ-710137,OCMS-819414,PM-9244384
PAI-00045,Housing Urban Development Project 00045,Ministry of Road Transport & Highways,CPWD,Urban Development,Delhi,Housing,2024-07-11,2025-01-11,2029-06-03,2029-09-01,5.74,6.07,PRJ-191156,OCMS-229178,PM-8947336
PAI-00046,Health Centre Healthcare Project 00046,"Ministry of Ports, Shipping & Waterways",Metro Rail Corporation,Healthcare,Assam,Health Centre,2025-01-20,2025-08-09,2029-03-28,2029-03-28,22.82,27.17,PRJ-889381,OCMS-348792,PM-3063152
PAI-00047,School Education Project 00047,Ministry of Education,CPWD,Education,Gujarat,School,2024-02-13,2024-08-30,2027-06-19,2027-12-16,11.77,12.95,PRJ-853481,OCMS-332765,PM-2709732
PAI-00048,Terminal Ports Project 00048,Ministry of Housing & Urban Affairs,State PWD,Ports,Assam,Terminal,2023-09-06,2024-05-18,2028-12-22,2029-02-20,40.79,51.62,PRJ-528219,OCMS-631546,PM-9378807
PAI-00049,Expressway Roads Project 00049,Ministry of Housing & Urban Affairs,NHAI,Roads,Tamil Nadu,Expressway,2024-10-08,2025-04-04,2026-10-25,2026-10-25,12.06,13.57,PRJ-769243,OCMS-148447,PM-2220644
PAI-00050,Freight Corridor Railways Project 00050,Ministry of Jal Shakti,IRCON,Railways,Telangana,Freight Corridor,2025-01-29,2025-03-16,2028-04-27,2028-07-26,10.6,12.79,PRJ-734443,OCMS-485690,PM-5609640
PAI-00051,Irrigation Water Project 00051,Ministry of Education,NHPC,Water,Haryana,Irrigation,2023-12-12,2024-05-24,2026-08-07,2026-08-07,136.56,158.76,PRJ-965252,OCMS-535204,PM-9855804
PAI-00052,Transmission Power Project 00052,Ministry of Education,NTPC,Power,Bihar,Transmission,2024-07-26,2025-04-21,2029-11-01,2029-12-01,55.74,61.72,PRJ-215216,OCMS-628104,PM-7803727
PAI-00053,Sewage Urban Development Project 00053,Ministry of Education,CPWD,Urban Development,Bihar,Sewage,2025-04-10,2025-11-06,2027-10-15,2027-10-15,32.08,34.26,PRJ-109321,OCMS-973478,PM-4025919
